E1: 1.9400146601334036, E11: 2.0249460702350284,E111: 2.199967867496101, E12: 2.219952009079928, E2: 2.139956928702217, E3: 2.219964414585186, beta1: 0.21850260410732997, beta11: 0.8766768962364091, beta111: 1.4818328896344404, beta12: 2.859368343715884, beta2: 0.8929610598197752, beta3: 2.972764339319985, deltaSmax: 0.7899842077689753, d33part: 1.6299327988000631, alpha1: 0.6198582910111677, alpha2: 1.3847661282015704, alpha3: 0.6087217661907915, eta11: 0.10656945996768433, eta12: 0.2092219959908214, eta2: 0.011185845119726454, eta3: 0.6730226989217679, err_p: 0.03345938376392908, err_s: 0.018317968640088195
E1: 1.9400146625436405, E11: 2.024946072214562,E111: 2.1999678352293857, E12: 2.2199520084996256, E2: 2.1399569136913854, E3: 2.219964412062389, beta1: 0.22032274733584356, beta11: 0.9121273061765264, beta111: 1.482757685555017, beta12: 2.969032726020392, beta2: 0.8756910744213541, beta3: 2.9197141236372905, deltaSmax: 0.7899842057380794, d33part: 1.6299327859898576, alpha1: 0.6846011418273696, alpha2: 1.3869075083182931, alpha3: 0.6477655640124752, eta11: 0.1407293046534433, eta12: 0.21119572759889416, eta2: 0.012173887056314146, eta3: 0.6359010806913484, err_p: 0.041394837988204265, err_s: 0.014128108896926492
E1: 1.9400146563157368, E11: 2.024946065656736,E111: 2.199967872843559, E12: 2.219952010230779, E2: 2.1399569250861648, E3: 2.21996440951183, beta1: 0.2138970722277389, beta11: 0.8574598339311863, beta111: 1.484876938298222, beta12: 2.941473401231119, beta2: 0.8821313808002458, beta3: 2.968499186892126, deltaSmax: 0.7899842078660325, d33part: 1.6299327950375346, alpha1: 0.6706773033880107, alpha2: 1.3711365710929395, alpha3: 0.6392789831746916, eta11: 0.1320893648761306, eta12: 0.209860318170871, eta2: 0.014002115875488066, eta3: 0.6440482010775104, err_p: 0.03971728870991195, err_s: 0.015730622473047285
E1: 1.9399520637381782, E11: 2.0249876560952256,E111: 2.199949438687364, E12: 2.2199762171258577, E2: 2.1399035835266895, E3: 2.2200111416830284, beta1: 0.1954549268219245, beta11: 0.8187218066214939, beta111: 1.4799792563364234, beta12: 2.877722104874399, beta2: 0.8323022539331548, beta3: 2.9246905689014793, deltaSmax: 0.7899607495475645, d33part: 1.6300284156082705, alpha1: 0.6554894055847555, alpha2: 1.3077219520578467, alpha3: 0.5642982285800673, eta11: 0.09908889549725144, eta12: 0.16760321886034452, eta2: 0.01934350138208496, eta3: 0.7139643842603192, err_p: 0.031868794768806566, err_s: 0.02621926022911379
